Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Sports & Recreation Centre,Recreation Club,,223.0,,244,,249,,2001,,,"17,141","10,400",61%,0,Others,0.0,0.0
Commercial Building,Retail,Large,144.9,,0,,0,,1983,,,"18,841",0,0%,0,,17.0,0.0
Commercial Building,Mixed Development,,303.0,Bottom Quartile,313,Bottom Quartile,324,Bottom Quartile,1990,Gold,Existing Non-Residental Buildings ENRB: 2017,"53,610","53,610",100%,0,Water Cooled Chilled Water Plant,7.0,0.0
Commercial Building,Office,Large,95.0,Top Quartile,102,Top Quartile,94,Top Quartile,2009,Gold,New Building for Non-Residential buildings (version 3),"19,949","14,913",75%,0,Water Cooled Chilled Water Plant,12.0,0.7
Commercial Building,Office,Medium,109.0,Top Quartile,118,2nd Quartile,121,2nd Quartile,2005,,,"5,463","3,405",62%,0,Others,0.0,0.0
Commercial Building,Retail,Large,439.0,3rd Quartile,430,3rd Quartile,472,3rd Quartile,2019,Gold,GM:2021 In Operation,"47,873","47,399",99%,0,Water Cooled Chilled Water Plant,3.0,0.59
Healthcare Facility,Polyclinic/ Private Clinic,,128.0,,139,,139,,1991,,,"6,497","2,806",43%,0,Others,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,85.0,,84,,85,,2001,,,"7,250","1,421",20%,0,Others,0.0,0.0
Commercial Building,Hotel,Large,225.88,,0,,0,,1994,Certified,Existing Non-Residental Buildings ENRB: 2017,"34,630",0,0%,0,,7.0,0.0
Commercial Building,Retail,Large,359.0,2nd Quartile,355,2nd Quartile,341,2nd Quartile,2009,,,"25,642","25,642",100%,0,Water Cooled Chilled Water Plant,13.0,0.0
Commercial Building,Retail,Large,342.28,,0,,0,,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"65,640",0,0%,0,,8.0,0.0
Commercial Building,Hotel,,160.0,Top Quartile,166,Top Quartile,181,Top Quartile,1997,Platinum,Existing Building for Non-Residential buildings (version 3),"38,054","38,054",100%,476,Water Cooled Chilled Water Plant,5.0,0.62
Commercial Building,Office,Large,108.0,,107,,116,,2010,Platinum,New Building for Non-Residential buildings (version 3),"51,264","41,113",80%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,297.0,Bottom Quartile,295,Bottom Quartile,301,Bottom Quartile,2014,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"20,484","18,058",88%,0,Water Cooled Chilled Water Plant,9.0,0.64
Commercial Building,Retail,Large,190.25,,0,,0,,1982,Platinum,Existing Building for Non-Residential buildings (version 3),"25,347",0,0%,0,,5.0,0.0
Commercial Building,Retail,Large,127.0,Top Quartile,130,Top Quartile,130,Top Quartile,1990,Gold,Existing Building for Non-Residential buildings (version 3),"79,471","39,210",49%,576,Water Cooled Chilled Water Plant,1.5,0.0
Commercial Building,Office,Large,191.06,,0,,0,,1993,Certified,Existing Building for Non-Residential buildings (version 3),"15,276",0,0%,0,,1.0,0.0
Commercial Building,Hotel,Large,146.9,,0,,0,,1998,,,"17,068",0,0%,0,,0.0,0.0
Commercial Building,Office,Omit,138.67,,0,,0,,1970,,,"84,229",0,0%,0,,20.0,0.0
Healthcare Facility,Hospital,,332.0,,355,,365,,1997,,,"1,24,686","81,768",66%,0,Water Cooled Chilled Water Plant,12.0,0.99
Commercial Building,Office,Small,202.68,,0,,0,,2009,Gold,Existing Building for Non-Residential buildings (version 2.1),"13,553",0,0%,0,,9.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,91.0,,93,,97,,2017,,,"6,013","1,753",29%,0,Others,0.0,0.0
Commercial Building,Office,Medium,138.0,2nd Quartile,133,2nd Quartile,140,2nd Quartile,2009,Gold,Existing Building for Non-Residential buildings (version 3),"11,977","9,975",83%,0,Others,0.0,0.0
Commercial Building,Office,Omit,111.43,,0,,0,,1988,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"54,211",0,0%,0,,5.0,0.0
Commercial Building,Industrial,Medium,283.0,Bottom Quartile,271,Bottom Quartile,257,Bottom Quartile,1990,Platinum,New Building for Non-Residential buildings (version 3),"12,890","9,670",75%,0,Water Cooled Chilled Water Plant,0.0,0.7
Commercial Building,Industrial,Large,264.0,Bottom Quartile,276,Bottom Quartile,278,Bottom Quartile,2001,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"28,602","28,602",100%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Hotel,,241.0,3rd Quartile,257,3rd Quartile,257,3rd Quartile,2009,,,"11,146","2,950",26%,336,Water Cooled Chilled Water Plant,0.0,0.0
Sports & Recreation Centre,Recreation Club,,260.0,,273,,322,,1998,,,"15,342","15,200",99%,0,Water Cooled Chilled Water Plant,24.0,0.0
Commercial Building,Office,Medium,142.0,2nd Quartile,224,Bottom Quartile,235,2nd Quartile,2018,,,"11,658","11,559",99%,0,Water Cooled Chilled Water Plant,5.0,0.0
Commercial Building,Office,Large,213.0,Bottom Quartile,218,Bottom Quartile,212,Bottom Quartile,2014,GoldPlus,New Building for Non-Residential buildings (version 4),"62,328","57,395",92%,0,Water Cooled Chilled Water Plant,8.0,0.0
Commercial Building,Office,Large,167.87,,0,,0,,1985,,,"34,736",0,0%,0,,7.0,0.0
Commercial Building,Retail,Large,589.3,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 3),"31,204",0,0%,0,,7.0,0.0
Commercial Building,Hotel,,187.0,2nd Quartile,190,2nd Quartile,199,Top Quartile,2016,Platinum,GM:2021 In Operation,"25,200","23,604",94%,582,Water Cooled Chilled Water Plant,6.0,0.65
Healthcare Facility,Specialist Clinic,,214.0,,229,,224,,1997,,,"13,558","9,848",73%,0,Water Cooled Chilled Water Plant,13.0,0.0
Sports & Recreation Centre,Recreation Club,,129.0,,148,,186,,2010,,,"14,595","10,000",69%,0,Others,0.0,0.0
Commercial Building,Office,Large,92.42,,0,,0,,1976,Platinum,Existing Building for Non-Residential buildings (version 3),"43,000",0,0%,0,,9.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,247.0,,226,,203,,2000,Gold,Existing Non-Residental Buildings ENRB: 2017,"17,997","15,000",83%,0,Others,0.0,0.0
Commercial Building,Mixed Development,,105.0,Top Quartile,115,Top Quartile,108,Top Quartile,1981,GoldPlus,Existing Building for Non-Residential buildings (version 3),"22,772","19,356",85%,0,Water Cooled Chilled Water Plant,7.0,0.62
Healthcare Facility,Community Hospital/ Nursing Home,,193.0,,190,,192,,2005,,,"14,122","8,276",59%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Retail,Large,604.25,,0,,0,,2009,,,"29,595",0,0%,0,,10.0,0.0
Commercial Building,Mixed Development,Large,365.25,,0,,0,,2019,GoldPlus,New Building for Non-Residential buildings (version 4.1),"80,858",0,0%,0,,2.0,0.0
Educational Institution,Private School,,130.0,,138,,133,,1999,Platinum,,"6,600","15,862",53%,133,Water Cooled Chilled Water Plant,8.0,0.52
Commercial Building,Office,Large,19.96,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 4),"25,510",0,0%,0,,4.0,0.0
Commercial Building,Office,Large,36.0,Top Quartile,87,Top Quartile,111,Top Quartile,2020,,,"19,097","15,880",83%,0,Water Cooled Chilled Water Plant,3.0,0.495
Commercial Building,Office,Large,210.4,,0,,0,,1983,,,"19,928",0,0%,0,,16.0,0.0
Commercial Building,Office,Large,199.87,,0,,0,,2012,GoldPlus,New Building for Non-Residential buildings (version 3),"71,158",0,0%,0,,4.0,0.0
Healthcare Facility,Hospital,,0.0,,0,,0,,1985,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"1,46,327","70,554",48%,0,Water Cooled Chilled Water Plant,5.0,0.64
Commercial Building,Office,Small,119.97,,0,,0,,2011,Legislated,,"1,063",0,0%,0,,9.0,0.0
Commercial Building,Office,Small,170.09,,0,,0,,1999,,,"10,950",0,0%,0,,19.0,0.0
Commercial Building,Office,Large,111.0,Top Quartile,122,2nd Quartile,117,Top Quartile,1992,Platinum,Existing Building for Non-Residential buildings (version 3),"62,392","58,287",93%,0,Water Cooled Chilled Water Plant,9.0,0.65
Educational Institution,Private School,,44.0,,42,,45,,2012,,,"6,997","4,600",42%,0,Others,0.0,0.0
Commercial Building,Retail,Large,375.0,2nd Quartile,364,2nd Quartile,375,3rd Quartile,2014,Platinum,New Building for Non-Residential buildings (version 3),"58,369","49,572",85%,235,Water Cooled Chilled Water Plant,8.0,0.0
Commercial Building,Office,Large,106.45,,0,,0,,1995,Platinum,Existing Building for Non-Residential buildings (version 3),"24,895",0,0%,0,,6.0,0.0
Healthcare Facility,Hospital,,330.0,,358,,362,,1999,Platinum,Existing Building (version 1),"1,79,917","1,48,371",82%,1200,Water Cooled Chilled Water Plant,24.0,0.8
Commercial Building,Office,Large,156.0,2nd Quartile,148,2nd Quartile,154,2nd Quartile,1998,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"27,699","27,699",100%,0,Water Cooled Chilled Water Plant,8.0,0.68
Commercial Building,Retail,Medium,188.0,Top Quartile,202,Top Quartile,243,Top Quartile,1990,,,"12,349","7,732",63%,0,Water-Cooled Package Units,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,0.0,,75,,75,,2021,,,"12,753","2,810",22%,0,Others,0.0,0.83
Commercial Building,Office,Large,196.2,,0,,0,,2000,,,"15,740",0,0%,0,,16.0,0.0
Commercial Building,Office,Large,210.0,3rd Quartile,198,3rd Quartile,198,3rd Quartile,1983,,,"19,928","14,629",73%,3,Water-Cooled Package Units,0.0,0.83
Commercial Building,Office,Large,580.0,Bottom Quartile,171,3rd Quartile,118,Top Quartile,1996,,,"16,692","15,504",93%,0,Water Cooled Chilled Water Plant,11.0,0.0
Commercial Building,Hotel,,365.0,Bottom Quartile,299,Bottom Quartile,422,Bottom Quartile,2010,Gold,Existing Building for Non-Residential buildings (version 3),"8,103","8,103",100%,360,Others,0.0,1.0
Sports & Recreation Centre,Recreation Club,,0.0,,0,,418,,2023,,,"12,001","7,425",62%,0,Water Cooled Chilled Water Plant,4.0,0.6
Commercial Building,Office,Large,38.0,Top Quartile,39,Top Quartile,40,Top Quartile,1994,Platinum,New Non-Residential Buildings (NRB: 2015) (R3),"46,218","18,758",41%,0,Water Cooled Chilled Water Plant,3.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,72.0,,70,,66,,2016,,,"14,450","10,000",69%,0,Others,0.0,0.0
Commercial Building,Retail,Small,215.03,,0,,0,,1992,Gold,Existing Building for Non-Residential buildings (version 3),"5,907",0,0%,0,,22.0,0.0
Commercial Building,Office,Large,318.0,Bottom Quartile,328,Bottom Quartile,371,Bottom Quartile,1975,Gold,Existing Building for Non-Residential buildings (version 3),"40,939","35,950",88%,0,Water Cooled Chilled Water Plant,10.0,0.65
Commercial Building,Office,Small,430.4,,0,,0,,1994,,,"8,760",0,0%,0,,0.0,0.0
Educational Institution,Univerisity,,94.0,,94,,94,,2015,Platinum,New Building for Non-Residential buildings (version 4),"20,100","9,769",49%,0,Water Cooled Chilled Water Plant,6.0,0.636
Commercial Building,Office,Small,161.46,,0,,0,,2005,,,"14,060",0,0%,0,,12.0,0.0
Commercial Building,Hotel,,224.0,3rd Quartile,240,3rd Quartile,219,2nd Quartile,1993,,,"12,052","12,052",100%,256,Water Cooled Chilled Water Plant,15.0,0.0
Commercial Building,Office,Medium,171.0,3rd Quartile,174,3rd Quartile,193,2nd Quartile,2006,,,"14,629","10,960",75%,0,Air Cooled Chilled Water Plant,0.0,1.44
Commercial Building,Mixed Development,Omit,241.77,,0,,0,,1993,Gold,Existing Building for Non-Residential buildings (version 2.1),"2,28,435",0,0%,0,,20.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,105.0,,107,,108,,2015,,,"7,307",632,9%,0,Others,0.0,0.0
Commercial Building,Retail,Small,463.57,,0,,0,,2018,Legislated,,"6,011",0,0%,0,,5.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,73.0,,75,,74,,1995,,,"6,199",355,6%,0,Others,0.0,0.0
Commercial Building,Mixed Development,,203.0,3rd Quartile,203,2nd Quartile,210,2nd Quartile,1990,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"1,32,527","88,287",67%,0,Water Cooled Chilled Water Plant,9.0,0.0
Commercial Building,Office,Medium,0.0,,0,,49,Top Quartile,2023,Platinum,Existing Non-Residential Buildings (ENRB: 2017),"5,569","4,900",88%,0,Others,0.0,0.0
Sports & Recreation Centre,Recreation Club,,73.0,,91,,95,,2015,Certified,New Building for Non-Residential buildings (version 4.1),"5,648",116,2%,0,Others,0.0,0.0
Commercial Building,Office,Medium,174.0,3rd Quartile,167,3rd Quartile,178,2nd Quartile,2005,,,"13,060","7,671",59%,0,Air Cooled Chilled Water Plant,0.0,1.56
Commercial Building,Office,Large,116.0,Top Quartile,110,Top Quartile,119,Top Quartile,1997,,,"52,903","3,52,002",665%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Hotel,,215.0,2nd Quartile,203,2nd Quartile,196,Top Quartile,2011,Gold,Existing Building for Non-Residential buildings (version 2.1),"13,539","13,128",97%,85,Water Cooled Chilled Water Plant,10.0,0.0
Commercial Building,Mixed Development,,123.0,Top Quartile,103,Top Quartile,107,Top Quartile,1975,Gold,Existing Non-Residental Buildings ENRB: 2017,"42,809","37,624",88%,0,Water Cooled Chilled Water Plant,9.0,0.61
Sports & Recreation Centre,Recreation Club,,170.0,,163,,128,,2003,,,"8,679","1,779",20%,0,Others,0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,98.0,,103,,87,,2018,Platinum,New Building for Non-Residential buildings (version 4.1),"16,644","7,440",45%,0,Water Cooled Chilled Water Plant,5.0,0.648
Commercial Building,Retail,Large,109.0,Top Quartile,70,Top Quartile,118,Top Quartile,1999,Platinum,GM:2021 In Operation,"1,61,545","1,19,109",74%,0,Water Cooled Chilled Water Plant,5.0,0.6
Commercial Building,Office,Large,51.81,,0,,0,,1978,Certified,New Building for Non-Residential buildings (version 4.1),"20,916",0,0%,0,,1.0,0.0
Commercial Building,Hotel,,80.0,Top Quartile,78,Top Quartile,89,Top Quartile,1972,GoldPlus,Existing Building for Non-Residential buildings (version 3),"21,466","19,767",92%,151,Water Cooled Chilled Water Plant,7.0,0.6
Educational Institution,ITE/ Polytechnic,,0.0,,0,,0,,2004,Platinum,New Building for Non-Residential buildings (version 4),"25,000","6,305",54%,0,Water Cooled Chilled Water Plant,7.0,0.0
Commercial Building,Office,Large,32.55,,0,,0,,2000,,,"91,069",0,0%,0,,17.0,0.0
Commercial Building,Office,Large,152.0,2nd Quartile,116,Top Quartile,122,2nd Quartile,2001,,,"12,291","11,003",90%,0,Water Cooled Chilled Water Plant,2.5,0.676
Commercial Building,Hotel,,306.0,,214,,432,,2011,,,"10,453","6,998",67%,191,District Cooling System (DCS),0.0,0.0
Commercial Building,Hotel,Small,219.39,,0,,0,,1999,,,"5,368",0,0%,0,,18.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,92.0,,112,,115,,1995,,,"7,636","3,818",50%,0,Others,0.0,0.0
Commercial Building,Office,Large,194.36,,0,,0,,1994,Certified,Existing Building for Non-Residential buildings (version 3),"17,828",0,0%,0,,6.0,0.0
Commercial Building,Hotel,,193.0,2nd Quartile,193,2nd Quartile,206,2nd Quartile,1986,Gold,GM:2021 In Operation,"12,565","11,500",92%,236,Water Cooled Chilled Water Plant,9.0,1.24
Commercial Building,Office,Large,82.0,Top Quartile,80,Top Quartile,85,Top Quartile,2015,Platinum,New Building for Non-Residential buildings (version 4),"15,211","12,160",80%,0,Water Cooled Chilled Water Plant,6.0,0.0
Commercial Building,Office,Large,384.92,,0,,0,,1998,Gold,Existing Non-Residental Buildings ENRB: 2017,"26,417",0,0%,0,,2.0,0.0
Healthcare Facility,Specialist Clinic,,509.0,,363,,371,,2013,GoldPlus,New Building for Non-Residential buildings (version 3),"71,921","60,916",85%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Mixed Development,,270.0,3rd Quartile,275,Bottom Quartile,307,Bottom Quartile,1996,,,"13,128","8,981",68%,0,Water Cooled Chilled Water Plant,23.0,1.1
Commercial Building,Office,Large,120.0,Top Quartile,116,Top Quartile,125,2nd Quartile,1985,Certified,Existing Building for Non-Residential buildings (version 2.1),"16,122","11,438",71%,0,Water Cooled Chilled Water Plant,12.0,0.0
Commercial Building,Office,Small,137.51,,0,,0,,2009,Gold,Existing Building for Non-Residential buildings (version 3),"11,977",0,0%,0,,10.0,0.0
Commercial Building,Hotel,Omit,169.77,,0,,0,,1985,GoldPlus,Existing Building for Non-Residential buildings (version 3),"51,487",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,69.0,,72,,71,,2014,,,"16,377","11,180",68%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Retail,Small,102.65,,0,,0,,1996,,,"2,300",0,0%,0,,3.0,0.0
Commercial Building,Office,Medium,0.0,,151,3rd Quartile,144,2nd Quartile,2021,,,"4,276","3,498",82%,0,Others,0.0,0.0
Commercial Building,Office,Medium,128.0,2nd Quartile,108,Top Quartile,133,2nd Quartile,2009,,,"7,522","5,165",69%,0,Others,0.0,0.0
Educational Institution,Private School,,110.0,,116,,115,,2013,,,"9,384","7,000",106%,0,Others,0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2008,,,1,1,100%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,135.0,2nd Quartile,132,2nd Quartile,138,2nd Quartile,2009,Platinum,Existing Building for Non-Residential buildings (version 2.1),"31,298","25,632",82%,0,Water Cooled Chilled Water Plant,14.0,0.0
Healthcare Facility,Hospital,,386.0,,403,,396,,1979,,,"10,994","10,763",98%,0,Water Cooled Chilled Water Plant,10.0,0.0
Commercial Building,Office,Large,53.0,,55,,62,,2018,Platinum,Existing Non-Residential Buildings (RECERT 2017),"39,500","16,035",41%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,82.2,,0,,0,,2015,Platinum,New Building for Non-Residential buildings (version 4),"15,211",0,0%,0,,5.0,0.0
Commercial Building,Office,Medium,203.0,3rd Quartile,200,3rd Quartile,204,2nd Quartile,2008,Gold,Existing Building for Non-Residential buildings (version 2.1),"13,553","11,791",87%,0,Others,0.0,0.85
"Civic, Community & Cultural Institution",Community Institution,,42.0,,49,,52,,1990,,,"6,533",162,2%,0,Others,0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,99.0,,93,,98,,1978,,,"7,018","7,250",103%,0,Others,0.0,0.0
Commercial Building,Office,Large,105.46,,0,,0,,2017,Platinum,New Building for Non-Residential buildings (version 4),"2,45,054",0,0%,0,,11.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1997,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"58,854","48,484",82%,0,Water Cooled Chilled Water Plant,9.0,0.61
Healthcare Facility,Community Hospital/ Nursing Home,,80.0,,77,,80,,2017,,,"8,994",900,10%,0,Others,0.0,0.0
Commercial Building,Office,Small,58.33,,0,,0,,1999,,,"7,386",0,0%,0,,3.0,0.0
Commercial Building,Office,Medium,347.0,Bottom Quartile,318,Bottom Quartile,301,Bottom Quartile,2011,,,"2,181","1,486",68%,0,Others,0.0,0.0
Commercial Building,Mixed Development,,104.0,Top Quartile,88,Top Quartile,94,Top Quartile,1986,Gold,Existing Building for Non-Residential buildings (version 2.1),"26,881","9,874",37%,0,Others,0.0,0.0
Commercial Building,Office,Large,148.0,2nd Quartile,507,Bottom Quartile,483,Bottom Quartile,1996,Platinum,Existing Building for Non-Residential buildings (version 2.1),"32,148","23,595",73%,0,Water Cooled Chilled Water Plant,9.0,0.65
Commercial Building,Office,Large,145.0,,133,,147,,2011,Platinum,Existing Building for Non-Residential buildings (version 3),"1,45,650","1,23,715",85%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,202.67,,0,,0,,2002,,,"39,149",0,0%,0,,18.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,3.0,,3,,3,,1900,,,"66,676",700,1%,0,Others,0.0,0.0
Commercial Building,Hotel,Small,334.43,,0,,0,,2008,,,"5,021",0,0%,0,,12.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,82.0,,84,,85,,2001,,,"8,832","1,297",15%,0,Others,0.0,0.0
Educational Institution,ITE/ Polytechnic,,75.0,,75,,77,,2004,Platinum,Existing Non-Residential Buildings (ENRB: 2017),"3,64,287","71,430",55%,0,Water Cooled Chilled Water Plant,5.0,0.574
Commercial Building,Hotel,,231.0,3rd Quartile,234,3rd Quartile,245,3rd Quartile,1999,,,"30,663","22,118",72%,160,Water Cooled Chilled Water Plant,23.0,0.0
Commercial Building,Mixed Development,Small,336.91,,0,,0,,1970,,,"7,900",0,0%,0,,6.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,117.0,,115,,118,,2013,,,"9,092","1,198",13%,0,Others,0.0,0.0
Commercial Building,Mixed Development,Small,56.61,,0,,0,,1974,,,"11,880",0,0%,0,,6.0,0.0
Educational Institution,Private School,,96.0,,68,,58,,2004,,,"10,999","17,782",71%,0,Air Cooled Chilled Water Plant,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,116.0,,115,,117,,2017,,,"22,856","13,713",60%,0,Others,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,76.0,,79,,74,,1999,,,"7,216",586,8%,0,Others,0.0,0.0
Commercial Building,Office,Medium,105.0,Top Quartile,116,2nd Quartile,106,Top Quartile,2016,,,"9,453",629,7%,0,Others,0.0,0.0
Commercial Building,Retail,Large,141.81,,0,,0,,1981,,,"33,782",0,0%,0,,13.0,0.0
Commercial Building,Office,Large,84.32,,0,,0,,2005,Platinum,Existing Building for Non-Residential buildings (version 3),"1,37,488",0,0%,0,,2.0,0.0
Commercial Building,Office,Small,109.78,,0,,0,,2009,Gold,Existing Building for Non-Residential buildings (version 3),"6,898",0,0%,0,,10.0,0.0
Commercial Building,Mixed Development,,200.0,3rd Quartile,204,2nd Quartile,203,2nd Quartile,1974,Gold,Existing Building for Non-Residential buildings (version 2.1),"47,107","47,107",100%,511,Water Cooled Chilled Water Plant,11.0,0.77
Commercial Building,Mixed Development,,190.0,2nd Quartile,177,Top Quartile,180,Top Quartile,1970,,,"24,377","22,470",92%,0,Water Cooled Chilled Water Plant,4.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,157.0,,159,,165,,2015,Platinum,GM:2021 In Operation,"56,247","24,121",43%,0,Water Cooled Chilled Water Plant,7.0,0.59
Sports & Recreation Centre,Recreation Club,,241.0,,263,,273,,1988,,,"9,921","4,353",44%,0,Others,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,116.0,,116,,128,,1998,,,"6,455","3,000",46%,0,Others,0.0,0.0
Sports & Recreation Centre,Recreation Club,,101.0,,98,,133,,2004,Platinum,Existing Non-Residental Buildings ENRB: 2017,"18,525","12,273",66%,0,Others,0.0,0.72
Commercial Building,Mixed Development,Omit,289.33,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 4.1),"94,046",0,0%,0,,0.0,0.0
Commercial Building,Office,Small,138.01,,0,,0,,1993,,,"5,824",0,0%,0,,0.0,0.0
Commercial Building,Office,Small,92.37,,0,,0,,1994,,,"7,816",0,0%,0,,0.0,0.0
Commercial Building,Retail,Large,37.0,Top Quartile,36,Top Quartile,40,Top Quartile,2004,Gold,Existing Building for Non-Residential buildings (version 2.1),"38,236",0,0%,0,Others,0.0,0.0
Commercial Building,Office,Large,211.03,,0,,0,,1982,GoldPlus,Existing Building for Non-Residential buildings (version 3),"64,277",0,0%,0,,4.0,0.0
Commercial Building,Retail,Medium,264.0,2nd Quartile,288,2nd Quartile,315,2nd Quartile,2014,Gold,New Building for Non-Residential buildings (version 3),"9,733","8,363",86%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Small,173.09,,0,,0,,1996,,,"10,580",0,0%,0,,4.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,78.0,,86,,88,,1997,,,"12,110","1,699",14%,0,Others,0.0,0.0
Commercial Building,Hotel,Large,221.09,,0,,0,,1970,,,"23,500",0,0%,0,,22.0,0.0
Commercial Building,Retail,Large,361.0,2nd Quartile,267,2nd Quartile,293,2nd Quartile,1998,,,"29,132","29,179",100%,324,Water Cooled Chilled Water Plant,4.0,0.75
Commercial Building,Office,Large,151.38,,0,,0,,2002,,,"49,327",0,0%,0,,15.0,0.0
Commercial Building,Retail,Large,161.0,Top Quartile,192,Top Quartile,187,Top Quartile,2012,,,"75,000","20,000",27%,0,Others,0.0,0.0
Commercial Building,Office,Large,156.31,,0,,0,,2014,Platinum,New Building for Non-Residential buildings (version 4),"82,003",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,224.29,,0,,0,,1980,,,"47,744",0,0%,0,,9.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,80.0,,78,,82,,2004,,,"7,000","3,000",43%,0,Others,0.0,0.0
Commercial Building,Hotel,,141.0,Top Quartile,136,Top Quartile,139,Top Quartile,1980,,,"8,211","7,800",95%,98,Water Cooled Chilled Water Plant,5.0,0.0
Commercial Building,Office,Large,173.0,3rd Quartile,162,3rd Quartile,158,2nd Quartile,1989,,,"38,698","31,000",80%,0,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Small,154.83,,0,,0,,1900,Platinum,Existing Building for Non-Residential buildings (version 3),"7,948",0,0%,0,,7.0,0.0
Commercial Building,Retail,Medium,439.0,Bottom Quartile,428,3rd Quartile,435,3rd Quartile,2001,Gold,Existing Non-Residental Buildings ENRB: 2017,"6,227","6,227",100%,0,Others,0.0,0.88
Healthcare Facility,Community Hospital/ Nursing Home,,100.0,,97,,88,,1996,,,"15,431","1,416",9%,0,Others,0.0,0.0
Commercial Building,Office,Large,144.85,,0,,0,,2005,,,"58,824",0,0%,0,,15.0,0.0
Commercial Building,Hotel,Large,159.73,,0,,0,,1981,Platinum,Existing Building for Non-Residential buildings (version 3),"37,721",0,0%,0,,6.0,0.0
Commercial Building,Retail,Large,518.74,,0,,0,,2017,Gold,Existing Building for Non-Residential buildings (version 3),"38,621",0,0%,0,,3.0,0.0
Commercial Building,Office,Large,347.65,,0,,0,,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"22,722",0,0%,0,,12.0,0.0
Commercial Building,Office,Large,37.0,,46,,41,,2015,Gold,New Building for Non-Residential buildings (version 4.1),"15,990","13,141",82%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2006,,,"22,604","20,000",88%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Retail,Small,136.27,,0,,0,,1996,Gold,Existing Building for Non-Residential buildings (version 2.1),"5,659",0,0%,0,,5.0,0.0
Commercial Building,Office,Small,105.17,,0,,0,,2016,,,"9,453",0,0%,0,,1.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2008,,,"31,412","29,843",95%,0,Water Cooled Chilled Water Plant,13.0,0.0
Commercial Building,Retail,Large,403.39,,0,,0,,2011,Gold,Existing Building for Non-Residential buildings (version 2.1),"87,361",0,0%,0,,8.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,228.0,,259,,256,,2005,Gold,Existing Non-Residental Buildings ENRB: 2017,"6,148","3,000",49%,0,Others,0.0,0.0
Healthcare Facility,Polyclinic/ Private Clinic,,158.0,,161,,156,,1997,,,"6,415","2,925",46%,0,Others,0.0,0.0
